restaurantName,address,city,postalCode,country,priceRange,cuisineType,description,facilitiesServices,creditCards,phoneNumber,website,postalCode_clean,latitude,longitude,region
L'Olivo,via Capodimonte 14,Anacapri,80071, Italy,€€€€,"Italian Contemporary, Creative","This two-Michelin-starred restaurant is situated far from the crowded alleyways of Capri, in the greener and more residential Anacapri, where its backdrop is the semi-hidden Capri Palace, one of the island’s most luxurious hotels. Here, a large, elegant drawing room is the setting for Italian cuisine with a particular focus on Campania, with dishes which are occasionally reinterpreted with a modern twist and always brightly coloured and full of flavour. A real pleasure for the palate, with primi that are truly exploding with flavour (such as the eliche pasta with rock fish and the risotto with a Neapolitan ragu), chef Andrea Migliaccio’s cuisine is accompanied by impeccable and professional service.","['Air conditioning', 'Terrace']","['Amex', 'Dinersclub', 'Mastercard', 'Visa']",+39 081 978 0111,https://www.jumeirah.com/en/dine/italy/l-olivo,80071,40.55563144285714,14.217131957142858,Campania
Maso Runch-Hof,via Runch 11,Badia,39036, Italy,€€,"Regional Cuisine, South Tyrolean","Surrounded by woods, a trip to this restaurant housed in an 18C farmhouse is like taking a journey back in time. Take a seat in one of the wood-adorned Stube-style rooms and enjoy generous portions of delicious home-cooked Ladin specialities featured on a single tasting menu, including cajinci t’ega (spinach-filled ravioli), excellent pork ribs with polenta, and apple strudel. The small wine list has the same local focus, featuring labels from the Alto Adige region. A recent addition, the restaurant also now has a few spacious, welcoming chalets available for guests.",['Car park'],"['Amex', 'Dinersclub', 'Mastercard', 'Visa']",+39 0471 839796,https://www.masorunch.it/it/,39036,46.5842491,11.911523839116112,Trentino-Alto Adige
Osteria da Pietro,via Chiassi 19,Castiglione delle Stiviere,46043, Italy,€€,"Classic Cuisine, Italian","Housed in an elegant period building in the historic centre, this restaurant is run by a friendly couple, with the wife at the helm in the kitchen and the husband keeping a skilful eye on the front-of-house staff. Highlights on the menu include pumpkin tortelli and rose tart with Muscat zabaglione.","['Air conditioning', 'Terrace']","['Amex', 'Dinersclub', 'Mastercard', 'Visa']",+39 0376 673718,https://www.osteriadapietro.it/,46043,45.384333171111116,10.488586940000001,Lombardia
Locanda del Molino,località Montanare 10,Cortona,52044, Italy,€€,"Tuscan, Traditional Cuisine","This rustic yet charming restaurant occupies an old family mill. It has attractive guestrooms that reflect the elegant simplicity of the Tuscan countryside. In the kitchen, the female chef creates traditional specialities such as fried rabbit and nettle with ricotta cheese gnudi (ravioli filling without the pasta) in a fresh tomato sauce.","['Air conditioning', 'Car park', 'Terrace']","['Amex', 'Mastercard', 'Visa']",+39 0575 614016,https://www.locandadelmolino.com/,52044,43.25803798207547,11.979243888679244,Toscana
Antica Locanda di Sesto,via Ludovica 1660,Lucca, Ponte a Moriano,55100,€€,"Tuscan, Regional Cuisine","The origins of this inn date back to the late 14C, making this one of the Italy’s recognised “Historic Restaurants” – and one that is still flourishing today! The dishes served here are often inspired by Tuscan peasant traditions, while the owner also runs an organic farm which produces wine, vinegar and extra-virgin olive oil. Highlights on the menu include soup with cavolo nero, spaghetti with guanciale (cured pork cheek) served on pecorino cheese, and an array of main courses barbecued on the grill.","['Air conditioning', 'Car park']","['Amex', 'Dinersclub', 'Mastercard', 'Visa']",+39 0583 578181,https://www.anticalocandadisesto.it/, Ponte a Moriano,43.909968,10.5292866,Toscana
Da Bibe,via delle Bagnese 1r,Firenze,50124, Italy,€€,Tuscan,"Immortalised by the Italian writer Montale in his poetry, this trattoria has been run by the same family for almost two centuries. The menu features traditional Tuscan dishes, such as pici pasta with wild boar sauce. Alfresco dining in summer. There are also apartments with kitchens for guests that wish to extend their stay.","['Car park', 'Terrace']","['Amex', 'Unionpay', 'Dinersclub', 'Maestrocard', 'Mastercard', 'Visa']",+39 055 204 9085,https://www.trattoriabibe.com/,50124,43.758065744999996,11.236718528333332,Toscana
Pacifico,via Moscova 29,Milano,20123, Italy,€€€,"Peruvian, Asian Influences","Although its dining rooms are fairly small, this restaurant, which acts as an ambassador for Peruvian cuisine with the occasional Asian influence, has an attractive, trendy ambience and a theatrical feel. Excellent choice of ceviche – raw fish or seafood dishes marinated in lemon and flavoured with spices such as chilli pepper and coriander – which are a typical speciality of Latin American countries along the Pacific coast.",['Air conditioning'],"['Amex', 'Mastercard', 'Visa']",+39 02 8724 4737,https://www.wearepacifico.com,20123,45.461978462352945,9.177142887120743,Lombardia
"Da Flavio e Fabrizio ""Al Teatro""",via della Vittoria 75,Mirano,30035, Italy,€,"Seafood, Venetian","Choose the ground floor for a quick meal and the first floor for a special dinner in this restaurant near the cinema - theatre. In both cases, the menu focuses on traditional fish dishes from the Veneto, such as black and white tagliolini with squid, scampi and courgettes. The honey semifreddo with caramel is the perfect way to round off your meal.","['Air conditioning', 'Terrace']","['Amex', 'Mastercard', 'Visa']",+39 041 440645,https://www.ristorantedaflavioefabrizio.it/,30035,45.49031545440415,12.094653729378239,Veneto
ChiaroScuro,corso Vittorio Emanuele II 380,Cagliari,9123, Italy,€€,"Sardinian, Traditional Cuisine","In this small neighbourhood restaurant, chef Marina Ravarotto pays tribute to some of Sardinia’s iconic dishes, such as Su Filindeu – a home made pasta very difficult to prepare. The excellent 4-course “Le Radici” menu introduces guests to some of the island’s most typical dishes.",['Air conditioning'],"['Amex', 'Mastercard', 'Visa']",+39 347 963 0924,https://chiaroscurodimarinaravarotto.eatbu.com/?lang=it,09123,39.2198961552,9.1068833088,Sardegna
Antonello Colonna Labico,via di Valle Fredda 52,Cave,30, Italy,€€€€,Italian Contemporary,"Situated in a scenically impressive setting nestling in the Vallefredda countryside and housed in an original, avant-garde building, this sophisticated restaurant serves carefully balanced and elegant dishes that underline its proximity to Rome and its close connection with Lazio’s rural traditions. Here, nature and modernity go hand in hand: the restaurant is home to large, almost museum-like rooms adorned with works of art and surrounded by parkland. The dishes, on the other hand, are classic in style, in deliberate contrast to the striking, contemporary backdrop in which they are served, and are inspired by many of Italy’s different culinary traditions. We highly recommended booking a table on the lawn under the mature chestnut trees in summer.","['Air conditioning', 'Car park', 'Garden or park', 'Great view', 'Restaurant offering vegetarian menus', 'Terrace', 'Wheelchair access']","['Amex', 'Dinersclub', 'Mastercard', 'Visa']",+39 06 951 0032,https://antonellocolonna.it/resort-spa/ristorante/,00030,41.816898544508675,12.942072747109826,Lazio
Trattoria di Campagna,Località Saint Maurice 57,Aymavilles,11010, Italy,€€,"Cuisine from the Aosta Valley, Modern Cuisine","This famous trattoria, now run by the third generation of the same family, serves traditional, seasonal cuisine from the Aosta valley, enhanced by the occasional imaginative and personalised touch. The new well-stocked wine cellar includes a table for a dozen guests, while sommelier Beatrice is on hand to assist guests with their choice of bottle. Excellent array of delicacies from the dessert trolley.","['Air conditioning', 'Car park', 'Terrace']","['Amex', 'Mastercard', 'Visa']",+39 0165 257448,https://www.trattoriadicampagna.it/,11010,45.674017313108614,7.220094956179775,Valle d'Aosta
San Quintino Resort,via Vigne 6,Busca,12022, Italy,€€,Italian Contemporary,"Once you have crossed the plain and climbed up into the San Quintino hills, you come to this restored farmhouse surrounded by an attractive garden. The restaurant is divided into a brick - walled dining room and a winter garden, while the charming guestrooms make this a romantic place to stay. Creative dishes with a focus on local ingredients and a few fish specialities feature on the menu.","['Air conditioning', 'Car park', 'Terrace', 'Wheelchair access']","['Amex', 'Dinersclub', 'Discover', 'Maestrocard', 'Mastercard', 'Visa']",+39 0171 933743,https://www.sanquintinoresort.com/,12022,44.51723910810811,7.4799582162162155,Piemonte
Lofficina,via Piave 11,Agugliano,60020, Italy,€€,"Creative, Contemporary","This building with a minimalist, contemporary design is situated on the edge of the historic centre at the Sant'Erasmo belvedere from where, in summer, panoramic views extend over Monte Conero and the sea (booking ahead is recommended). In the kitchen, owner-chef Davide Breccia conjures up creative dishes featuring original combinations and mainly inspired by the sea. Our inspector’s favourite dish was the marinated amberjack with passion fruit, black pepper and vanilla. The freshness of the fish is enhanced by the chef’s balanced and individual approach.","['Air conditioning', 'Great view', 'Terrace', 'Wheelchair access']","['Amex', 'Mastercard', 'Visa']",+39 071 933 1628,https://www.lofficinasirolo.com,60020,43.5473616,13.363832758158996,Marche
Il Ristorante - Niko Romito,via di Ripetta 73,Roma,186, Italy,€€€€,Italian Contemporary,"Situated on the fifth floor of the Hotel Bulgari with views of the Mausoleum of Augustus, Il Ristorante - Niko Romito boasts a spacious terrace and an elegant, welcoming dining room with mahogany walls adorned with works of art. The menu features traditional Italian cuisine reinterpreted with a light and imaginative touch as demonstrated by memorable dishes such as the chef’s own take on classic spaghetti in a tomato sauce.","['Air conditioning', 'Interesting wine list', 'Terrace']","['Amex', 'Unionpay', 'Dinersclub', 'Discover', 'Jcb', 'Maestrocard', 'Mastercard', 'Visa']",+39 06 3608 0410,https://www.bulgarihotels.com/it_IT/rome/dining/il-ristorante-niko-romito,00186,41.89834398908163,12.47179806734694,Lazio
Foresta,via Litoranea 2,Pisa,56128, Italy,€€€,"Seafood, Classic Cuisine","Overlooking the Tyrrhenian Sea, all the tables at this restaurant offer sea views, whether you’re sitting in the winter dining room or on the outdoor summer terrace. The menu here focuses on top-quality fish dishes, which are classic in style, as is the background music and wine list, although the desserts have a more imaginative flavour.","['Air conditioning', 'Great view', 'Terrace', 'Wheelchair access']","['Amex', 'Mastercard', 'Visa']",+39 050 35082,https://www.ristoranteforesta.com/,56128,43.63732033090909,10.292212819090908,Toscana
Taverna 58,corso Manthoné 46,Pescara,65127, Italy,€,"Cuisine from Abruzzo, Traditional Cuisine","Situated in the district where Ennio Flaiano and Gabriele d'Annunzio once lived, this excellent trattoria has been in business now for over 40 years. Despite changing hands in 2020, the restaurant’s essence remains the same. The cuisine is still simple and rustic, generously portioned and full of flavour, with its roots firmly planted in Abruzzi traditions. The menu features
           
            arrosticini
           
           (skewered grilled meat), vegetable and goat’s cheese fritters, numerous meat-based main courses (mutton, pork, rabbit, wild boar, veal, beef etc), and a white Abruzzese
           
            torrone
           
           named Oh pe' la Maiellaby the restaurant. Guests are welcome to visit the medieval and Roman remains in the wine cellars.","['Air conditioning', 'Wheelchair access']","['Amex', 'Dinersclub', 'Mastercard', 'Visa']",+39 085 690724,https://www.taverna58.it/,65127,42.45779124495576,14.216834429557522,Abruzzo
Bar à Fromage,rue Grand Paradis 20,Cogne,11012, Italy,€€,"Cuisine from the Aosta Valley, Classic Cuisine","A cosy, elegant Stube-style restaurant where the staff wear typical Aosta Valley costume and the menu features dishes with a particular focus on cheese (including an excellent fondue!) alongside traditional regional fare. Typical decor with refined, personalised furnishings and a profusion of wood.","['Car park', 'Terrace']","['Amex', 'Dinersclub', 'Mastercard', 'Visa']",+39 0165 749696,https://www.hotelbellevue.it/it/ristoranti/view/bar-a-fromage-restaurant-de-montagne,11012,45.6081919,7.355135857692307,Valle d'Aosta
Locanda Solagna,piazza I  Novembre 2,Setteville,32038, Italy,€€,"Italian Contemporary, Country cooking","Although this restaurant has been in business since the 1950s, it feels much more modern thanks to its updated appearance. Renowned for its excellent regional cuisine served in the evening, the restaurant pays careful attention to seasonal ingredients. At lunchtime, the ”osteria”-style menu is much simpler. Excellent wine selection.","['Air conditioning', 'Garden or park', 'Interesting wine list', 'Terrace']","['Amex', 'Mastercard', 'Visa']",+39 0439 788019,https://www.locandasolagna.it/,32038,45.9297723125,11.9304371125,Veneto
La Tavola,via Fortino 40,Laveno-Mombello,21014, Italy,€€€€,Creative,"Situated in the Il Porticciolo hotel, this restaurant will appeal to anyone who enjoys a lakeside setting. Leave your car in the car park, then take the lift down to the dining room with its windows overlooking the water and views of the opposite shore of Lake Maggiore. The lake also takes pride of place in some of the creative, elaborate and personalised dishes on the two tasting menus created by Riccardo Bassetti, many of which feature freshwater fish.","['Car park', 'Great view', 'Interesting wine list', 'Terrace']","['Amex', 'Mastercard', 'Visa']",+39 0332 667257,https://ilporticciolo.com/,21014,45.90569350096153,8.62003015,Lombardia
Remulass,via Nino Bixio 21,Milano,20129, Italy,€€,Modern Cuisine,"“Cooking with roots” is the mantra at Remulass, a phrase that has inspired the restaurant’s name (“wild radish” in the local Milanese dialect). This small, lively restaurant gets very busy in the evenings when booking is highly recommended. The attractively modern and colourful dishes here always feature plenty of root vegetables and aromatic herbs. We recommend the fermented vegetables with baked ricotta and a gin dressing.","['Air conditioning', 'Wheelchair access']","['Amex', 'Mastercard', 'Visa']",+39 02 5251 7356,https://www.remulass.it,20129,45.470996157474225,9.213359185953609,Lombardia
Le Tre Colombe,località Santo Stefano 22,Altavalle,38040, Italy,€€€,Italian Contemporary,"This intimate and romantic restaurant occupies an old 18C rural house which is situated in a small hamlet in the Cembra valley. In two small dining rooms with a vaguely modern feel, the husband serves just one tasting menu, from which guests can choose two menus of different lengths, featuring delicious, well-presented, contemporary Italian cuisine prepared by his wife.","['Air conditioning', 'Car park']","['Maestrocard', 'Mastercard', 'Visa']",+39 333 522 1610,https://www.letrecolombe.com/,38040,46.238003453465346,11.287046616831683,Trentino-Alto Adige
Moebius Sperimentale,via Cappelini 25,Milano,20124, Italy,€€€€,"Creative, Modern Cuisine","Occupying an old textile workshop, this restaurant is one of the most attractive in Milan with its modern, chic-industrial setting divided into three separate spaces: a cocktail bar with an impressive selection of gins, a bistro serving tapas, and an experimental restaurant. The restaurant is housed in a glass-enclosed room with space for 30 guests, built on a suspended platform in the centre of the building. Creative and exciting cuisine.","['Air conditioning', 'Counter dining']","['Amex', 'Mastercard', 'Visa']",+39 02 3664 3680,http://moebiusmilano.it,20124,45.48416086156015,9.20137607824248,Lombardia
Enotavola,via dell'Arco 37,Padova,35122, Italy,€€,Seafood,"The entrance to this restaurant through a wine-bar can be misleading, as you are eventually led to simpler – yet still attractive – dining rooms. In this wine-themed setting, enjoy delicious fish and seafood dishes with the occasional creative twist, accompanied by a particularly extensive selection of wines by the glass. A highly recommended address for fish lovers, situated right in the historic centre of Padova.","['Air conditioning', 'Interesting wine list']","['Dinersclub', 'Mastercard', 'Visa']",+39 049 876 2385,http://www.enotavola.com,35122,45.40456815096154,11.873961957692307,Veneto
San Tommaso 10,via San Tommaso 10,Torino,10122, Italy,€€€,"Piedmontese, Modern Cuisine","In 1895 Luigi Lavazza opened here a grocery store where he immediately began blending coffee. 129 years later the place hosts a modern restaurant with a superb kitchen run by a chef who, despite hailing from the Marche region, treats guests to one of the most authentic interpretations of Piedmontese cuisine in the city, often with a creative touch. Among the options on offer here, the trolley of antipasti is a must.",['Air conditioning'],"['Amex', 'Unionpay', 'Dinersclub', 'Discover', 'Jcb', 'Maestrocard', 'Mastercard', 'Visa']",+39 011 534201,http://www.santommaso10.com,10122,45.074315403566374,7.677466366260968,Piemonte
Trattoria da Marino,via Provinciale Lucchese 102,Serravalle Pistoiese, Serravalle Pistoiese,51030,€€,"Tuscan, Traditional Cuisine","In business for a century, this simple yet successful trattoria serves traditional Tuscan cuisine, with specialities such as ribollita stew and rabbit casserole on the menu. There’s just one informal dining room, which is overseen by capable owner Edoardo Innocenti, who delights in guiding his guests through the regional options on the menu. The tasting menu is highly recommended.","['Car park', 'Terrace']","['Mastercard', 'Visa']",+39 0573 51042,, Serravalle Pistoiese,43.9058503,10.8330195,Toscana
Da Gelsomina,Via Migliara 72,Anacapri,80071, Italy,€€,Regional Cuisine,"Access to this authentic family-run trattoria is either by foot or shuttle bus (phone ahead for the latter). Just a few metres from the restaurant, enjoy breathtaking views of the Parco dei Filosofi.","['Great view', 'Terrace']","['Amex', 'Dinersclub', 'Mastercard', 'Visa']",+39 081 837 1499,http://www.dagelsomina.com,80071,40.55563144285714,14.217131957142858,Campania
Campo del Drago,Località Castiglion del Bosco,Montalcino,53024, Italy,€€€€,"Contemporary, Tuscan","A certain amount of patience is needed to get to this restaurant accessed via a dusty yet attractive dirt track that wends its way through typical Tuscan landscapes. On arrival, you’ll find an enchanting village of medieval origins with a tower and an old frescoed church, where the Rosewood Castiglion del Bosco offers excellent service, splendid guestrooms and one of the best restaurants in the region. Chef Matteo Temperini serves some of the most interesting and creative dishes in Tuscany, many of which are made using vegetables from the hotel’s own kitchen garden. Dishes are served in an elegant, contemporary-style dining room with a panoramic terrace, while the wine list features various house wines, including the Brunello di Montalcino Campo del Drago, which gives its name to the restaurant. It’s worth noting that the dishes on the three tasting menus can also be chosen individually à la carte style.","['Air conditioning', 'Car park', 'Garden or park', 'Great view', 'Interesting wine list', 'Terrace', 'Wheelchair access']","['Amex', 'Mastercard', 'Visa']",+39 0577 191 3001,https://www.rosewoodhotels.com/it/castiglion-del-bosco/dining/ristorante-campo-del-drago,53024,43.06191147356322,11.511153950574712,Toscana
Osteria del 36,Strada Aurelio Saffi 26/a,Parma,43121, Italy,€,"Emilian, Classic Cuisine","The oldest osteria in the town centre, this restaurant has delighted locals and visitors in two simple yet convivial dining rooms since 1880. The cuisine here is regional, with many dishes freshly prepared, from the excellent pasta to the delicious ice cream. Specialities include duck breast in a raspberry sauce with parmesan cheese flan.","['Air conditioning', 'Interesting wine list', 'Wheelchair access']","['Amex', 'Unionpay', 'Dinersclub', 'Discover', 'Jcb', 'Maestrocard', 'Mastercard', 'Visa']",+39 0521 287061,https://osteriadel36.it/,43121,44.8019783408771,10.329642860909583,Emilia-Romagna
Giannino dal 1899,via Vittor Pisani 6,Milano,20124, Italy,€€€,"Mediterranean Cuisine, International","A renowned name in Milan, this restaurant is the setting for a Mediterranean cuisine  with an international twist. Although recently renovated, the dining room has an attractive old-fashioned feel with old photographs of celebrities who have eaten here since it opened more than 120 years ago.","['Air conditioning', 'Wheelchair access']","['Amex', 'Dinersclub', 'Mastercard', 'Visa']",+39 02 3651 9520,httpss://gianninoristorante.it,20124,45.48416086156015,9.20137607824248,Lombardia
Il Papavero,corso Garibaldi 112/113,Eboli,84025, Italy,€€,"Modern Cuisine, Campanian","Papavero is the Italian for poppy, a plant which grows tall and has strong roots, making it an apt symbol for this restaurant housed in a palazzo in the town centre. In a few classic-style rooms, the chef offers a menu that focuses on fish and seafood, although ingredients from the surrounding countryside also feature. Simple, solid recipes made with just a few ingredients, exactly as described on the menu, and a passionate dedication to the Mediterranean result in attractive cuisine which also offers good value for money. In fine weather, meals are served outdoors under the jasmine in a romantic garden. A restaurant that appeals to the heart as well as the palate.","['Air conditioning', 'Terrace']","['Mastercard', 'Visa']",+39 0828 330689,https://www.ristoranteilpapavero.it/,84025,40.5942732027027,15.03887679189189,Campania
Reale,contrada Santa Liberata,Castel di Sangro, Castel di Sangro,67031,€€€€,"Modern Cuisine, Creative","Housed in a 16C monastery amid gardens and vineyards in the foothills surrounding Castel di Sangro, this restaurant boasts a simple, minimalist style which is echoed in its cuisine, created by one of the most easily identified and recognisable chefs in Italy. For years, Niko Romito has been renowned for his minimalist-style dishes which are prepared from just a few ingredients, featuring sauces with an Italian rather than classically French flavour, and this remarkable chef continues to research and evolve. He focuses on ingredients and recipes from his native Abruzzo, paying particular attention to vegetables and creating dishes that are striking for their intense flavours. As ever, his dishes are apparently simple yet often the result of complex preparation that leaves his guests full of spellbound admiration.","['Air conditioning', 'Car park', 'Garden or park', 'Great view', 'Interesting wine list', 'Restaurant offering vegetarian menus']","['Amex', 'Maestrocard', 'Mastercard', 'Visa']",+39 0864 69382,http://www.nikoromito.com/reale, Castel di Sangro,41.7842727,14.1080639,Abruzzo
Il Pescatore,via Acqua Dolce 7,Dorgali,8022, Italy,€€,"Seafood, Seasonal Cuisine","This Mediterranean-style restaurant has the evocative feel of a seaside village with its beautiful photos of the coast on the walls. It’s best to book ahead if you want one of the tables on the small terrace overlooking the sea. To avoid confusion, note that the Il Pescatore that we recommend is situated at 7, via Acqua Dolce.","['Air conditioning', 'Great view', 'Terrace']","['Amex', 'Dinersclub', 'Mastercard', 'Visa']",+39 0784 93174,https://www.ristoranteilpescatorecalagonone.com/,08022,40.288468494851145,9.600864421400573,Sardegna
Terrazza Danieli,riva degli Schiavoni,Venezia, Venice,30122,€€€€,Mediterranean Cuisine,"Mirrors and fabrics add to the luxurious atmosphere in the dining room at this restaurant, but it is the outdoor terrace (open between May and October) with its 180° views of the lagoon and islands that is its crowning glory. The menu changes regularly in line with the seasons, and features fresh, local ingredients with the occasional hint of exotic spices as is only fitting for Venice!","['Air conditioning', 'Great view', 'Terrace']","['Amex', 'Dinersclub', 'Mastercard', 'Visa']",+39 041 522 6480,https://www.hoteldanieli.com/, Venice,45.4371908,12.3345898,Veneto
Federico II,via Duomo 30,Termoli,86039, Italy,€€,Seafood,"A quiet restaurant right in the historic centre, just a stone’s throw from the cathedral. The young owner prepares creative dishes from the fresh fish and seafood that he purchases on a daily basis.","['Air conditioning', 'Terrace']","['Mastercard', 'Visa']",+39 0875 85414,,86039,41.999271088709676,14.997477493548388,Molise
Locanda della Luna,via delle Oche 7,Calvi,82018, Italy,€€,"Campanian, Classic Cuisine","In a remote location in the Sannio, this authentic inn offers fine views from its well-kept dining room-cum-veranda and outdoor terrace. The owner-chef creates dishes with a regional flavour using produce from his own garden, without straying too far from local traditions.","['Air conditioning', 'Car park', 'Garden or park', 'Great view', 'Terrace']","['Amex', 'Dinersclub', 'Mastercard', 'Visa']",+39 320 047 8609,https://www.locandadellaluna.net/,82018,41.07203185,14.87610815,Campania
Romano,via Mazzini 120,Viareggio,55049, Italy,€€€€,Seafood,"Opened in 1966, Romano is a real culinary institution in the Versilia region, serving cuisine made from top-quality ingredients, with a particular focus on local fish. Although its philosophy has not changed over the years, current chef Nicola Gronchi should be applauded for adding a hint of contemporary flavour and technical expertise to the cuisine, while still retaining everything that this restaurant does best, namely serving fish of the highest quality (there are also a few meat dishes), including the occasional typical Versilian recipe.","['Air conditioning', 'Interesting wine list']","['Amex', 'Mastercard', 'Visa']",+39 0584 31382,https://www.romanoristorante.it/,55049,43.85920435958904,10.25916555890411,Toscana
Da Gregorio,strada provinciale 101 136,Orvieto,5018, Italy,€€,Umbrian,"A family-run trattoria which is simple in style yet offers professional and courteous service. The menu focuses mainly on Umbrian specialities, fresh pasta, grilled dishes and an impressive selection of vegetables.","['Terrace', 'Wheelchair access']","['Amex', 'Dinersclub', 'Mastercard', 'Visa']",+39 0763 215011,,05018,42.71850999716981,12.116408247169812,Umbria
Mirepuà Food Lab,via Umberto I 69,Acqui Terme,15010, Italy,€€,"Traditional Cuisine, Piedmontese","Situated in a picturesque medieval village with a castle in the Monferrato hills, this restaurant serves classic Piedmontese cuisine with plenty of meat options, alongside a few specialities from the chef’s native Liguria. Raw fish, Piedmontese-style fritto misto and grilled meat and vegetables are available by prior reservation.","['Air conditioning', 'Terrace']","['Mastercard', 'Visa']",+39 0143 344702,https://www.mirepua.it/,15010,44.66468882575757,8.491027564393939,Piemonte
Locanda Martinelli,piazza Mazzini 11,Rosignano Marittimo,57016, Italy,€€,Modern Cuisine,"It’s well worth leaving the coast and climbing into the foothills to get to this small restaurant serving excellent cuisine. Housed in a rustic-style house with individual furnishings, in what could be the sitting room of a private house, the restaurant serves meat and fish specialities prepared with imagination from local produce and ingredients from further afield. As well as being a wine expert, the female owner gathers herbs, flowers and berries to flavour her recipes.",['Air conditioning'],"['Dinersclub', 'Mastercard', 'Visa']",+39 0586 740161,https://www.locandamartinelli.it,57016,43.38874145147929,10.443848237869823,Toscana
Il Cappero,via Vulcanello,,98055, Italy,€€€€,"Mediterranean Cuisine, Modern Cuisine","The change of chef at this restaurant is echoed by the excellent level of cuisine on offer here. Young Onofrio Pagnotto, who was already sous-chef at the resort’s Tenerumi restaurant and who is supported by the hotel’s executive chef Davide Guidara, offers two tasting menus (one shorter than the other). Both menus showcase local ingredients prepared with technical expertise to create contemporary, Mediterranean dishes that are full of flavour. Onofrio is not afraid to use the occasional French sauce, as well as his beloved fermentations in his dishes. As a final flourish, the desserts come courtesy of Gianluca Colucci, the pastry chef shared with Tenerumi. After enjoying a first, delicious dessert in the dining room, guests move to the “pasticceria” corner where pastry chefs “improvise” a final dessert in line with guests’ preferences. Last but not least, the restaurant boasts a superb setting within the Therasia Resort perched on the Vulcanello promontory above the sea, with breathtaking views of the Aeolian islands often enhanced by blazing sunsets.","['Air conditioning', 'Car park', 'Counter dining', 'Garden or park', 'Great view', 'Interesting wine list', 'Terrace', 'Valet parking']","['Amex', 'Dinersclub', 'Mastercard', 'Visa']",+39 090 985 2555,https://www.ilcapperoristorante.it/,98055,38.512044879166666,14.987901579166666,
Soho,via al Ponte Calvi 20 r,Genova,16124, Italy,€€,"Seafood, Contemporary","Situated in the heart of the historic centre just a stone’s throw from the aquarium, this designer-style restaurant has retained some of the palazzo’s historic features. Specialities here range from raw fish dishes to classic favourites such as a reinterpreted version of “cappon magro” (seafood salad). The surprise tasting menus are particularly popular.","['Air conditioning', 'Terrace']","['Amex', 'Mastercard', 'Visa']",+39 010 869 2548,https://ristorantesoho.it/,16124,44.41302307079646,8.93040783539823,Liguria
Podere 39,via Senese 39 r,Firenze,50125, Italy,€,"Tuscan, Country cooking","Housing just a few tables (booking is recommended), this restaurant is attractively decorated with an original melting-pot of features which give it a rustic yet elegant feel despite its small size. Some of the ingredients come from the restaurant’s own farm (hence the name “podere”, the Italian for farm), with both meat and fish dishes featuring on the menu.",['Air conditioning'],"['Mastercard', 'Visa']",+39 345 237 6137,https://podere39.business.site/,50125,43.764482129347826,11.251091242391304,Toscana
Vecchia Sorni,piazza Assunta 40,Lavis,38015, Italy,€€,"Regional Cuisine, Italian Contemporary","Situated in the northern wine-producing area of Trento, this trattoria is a real highlight, thanks to its delicious, beautifully presented cuisine which is always full of flavour. The menu includes regional dishes as well as more modern specialities (plus a few fish-based options) which can be enjoyed either in the typical dining room or out on the veranda (also open in winter) with its stunning views of the Adige valley.","['Great view', 'Restaurant offering vegetarian menus', 'Terrace', 'Wheelchair access']","['Amex', 'Dinersclub', 'Mastercard', 'Visa']",+39 0461 870541,https://www.vecchiasorni.it,38015,46.1427490997416,11.1105057501292,Trentino-Alto Adige
Antica Trattoria Cattivelli,via Chiesa di Isola Serafini 2,Pontenure,29010, Italy,€€,Country cooking,"As its address indicates, this restaurant is situated on an island formed by a loop in the Po river. Since 1947, the Cattivelli family have been celebrating the best of the Lower Po valley’s cuisine here in a rural, river setting that is typical of the region. Regional dishes take pride of place on the menu, always served in generous portions and often made using locally sourced ingredients, including fresh home-made pastas and excellent ice-cream, as well as conserves made from home-grown produce. Although not particularly traditional, we enjoyed the mushroom macaroni made in-house using organic flour, as well as the veal served with caramelised shallots and potatoes.","['Air conditioning', 'Car park', 'Terrace']","['Amex', 'Mastercard', 'Visa']",+39 0523 829418,https://www.trattoriacattivelli.it/,29010,45.002589865428575,9.806236347714286,Emilia-Romagna
Locanda Mammì,contrada Castelnuovo 86,Agnone,86081, Italy,€€,"Modern Cuisine, Classic Cuisine","Situated amid beautiful countryside with views of the tranquil hills and rustic farmhouses that surround it, this restaurant is home to young and talented chef Stefania Di Pasquo who creates dishes using regional ingredients to which she adds her own personalised and modern touch. The wine list also includes a few champagnes, while the dining room with its stone walls, wood ceiling, elegant furnishings and bright colours is in complete harmony with its surroundings. Guestrooms are also available.","['Air conditioning', 'Wheelchair access']","['Amex', 'Dinersclub', 'Discover', 'Jcb', 'Maestrocard', 'Mastercard', 'Visa']",+39 0865 77379,https://www.locandamammi.it,86081,41.811892571875,14.371481828125,Molise
Da Gigetto,via De Gasperi 5,Paese,31050, Italy,€€,"Regional Cuisine, Modern Cuisine","A long-established restaurant with a renowned reputation thanks to the enthusiasm of the family at the helm and the excellent cuisine on offer. The carefully designed menu focuses mainly on classic regional dishes, yet also includes more contemporary options and even a few fish-based specialities, while the impressive wine list features more than 1 000 different labels, including some surprising names and various vertical wine-tasting options.","['Air conditioning', 'Car park', 'Interesting wine list']","['Dinersclub', 'Mastercard', 'Visa']",+39 0438 960020,https://www.ristorantedagigetto.it/,31050,45.70874697028986,12.169348428985508,Veneto
